# gunzip -c exp/mono_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang_bigram 
# Started at Sat Dec 23 22:09:14 IST 2017
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 72.7678571429% of the time at utterance end.  This may not be optimal.
At utterance begin, sil accounts for 96.8% of phone occurrences, with duration (median, mean, 95-percentile) is (52,52.4,90) frames.
At utterance begin, nonsilence accounts for 2.8% of phone occurrences, with duration (median, mean, 95-percentile) is (15,27.1,65) frames.
At utterance begin, dh_B accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (51,42.7,60) frames.
At utterance begin, y_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,10.2,14) frames.
At utterance end, sil accounts for 72.8% of phone occurrences, with duration (median, mean, 95-percentile) is (146,164.4,369) frames.
At utterance end, nonsilence accounts for 27.2% of phone occurrences, with duration (median, mean, 95-percentile) is (32,112.1,372) frames.
At utterance end, ei_E accounts for 18.0% of phone occurrences, with duration (median, mean, 95-percentile) is (154,162.7,453) frames.
At utterance end, n_E accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.5,4) frames.
At utterance end, ee_E accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.4,12) frames.
At utterance end, aa_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,10.1,28) frames.
At utterance end, ii_E accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (9,12.4,23) frames.
At utterance end, iin_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,13.0,22) frames.
Overall, nonsilence accounts for 94.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.1,21) frames.
Overall, a_I accounts for 10.9% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.4,12) frames.
Overall, sil accounts for 5.7% of phone occurrences, with duration (median, mean, 95-percentile) is (43,70.0,244) frames.
Overall, aa_I accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,21) frames.
