# gunzip -c exp/tri/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp/tri/graph 
# Started at Sat Dec 23 22:59:59 IST 2017
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 72.1428571429% of the time at utterance end.  This may not be optimal.
At utterance begin, sil accounts for 100.0% of phone occurrences, with duration (median, mean, 95-percentile) is (50,51.1,89) frames.
At utterance end, sil accounts for 72.1% of phone occurrences, with duration (median, mean, 95-percentile) is (144,165.6,411) frames.
At utterance end, nonsilence accounts for 27.9% of phone occurrences, with duration (median, mean, 95-percentile) is (136,163.7,418) frames.
At utterance end, ei_E accounts for 20.7% of phone occurrences, with duration (median, mean, 95-percentile) is (204,215.5,418) frames.
At utterance end, ee_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.5,3) frames.
At utterance end, ii_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.5,3) frames.
At utterance end, n_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.0,3) frames.
At utterance end, on_E accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,12.5,7) frames.
At utterance end, aa_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (67,67.0,67) frames.
At utterance end, iin_E accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (19,19.0,19) frames.
Overall, nonsilence accounts for 93.3% of phone occurrences, with duration (median, mean, 95-percentile) is (8,10.0,19) frames.
Overall, a_I accounts for 10.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.1,9) frames.
Overall, sil accounts for 6.7% of phone occurrences, with duration (median, mean, 95-percentile) is (33,60.7,237) frames.
Overall, aa_I accounts for 4.1% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.6,18) frames.
Overall, aa_E accounts for 3.3% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.4,24) frames.
