sil nonword
sil_B begin
sil_E end
sil_I internal
sil_S singleton
a_B begin
a_E end
a_I internal
a_S singleton
aa_B begin
aa_E end
aa_I internal
aa_S singleton
aan_B begin
aan_E end
aan_I internal
aan_S singleton
ai_B begin
ai_E end
ai_I internal
ai_S singleton
au_B begin
au_E end
au_I internal
au_S singleton
ax_B begin
ax_E end
ax_I internal
ax_S singleton
axx_B begin
axx_E end
axx_I internal
axx_S singleton
b_B begin
b_E end
b_I internal
b_S singleton
bh_B begin
bh_E end
bh_I internal
bh_S singleton
c_B begin
c_E end
c_I internal
c_S singleton
cc_B begin
cc_E end
cc_I internal
cc_S singleton
cch_B begin
cch_E end
cch_I internal
cch_S singleton
cchx_B begin
cchx_E end
cchx_I internal
cchx_S singleton
ccx_B begin
ccx_E end
ccx_I internal
ccx_S singleton
ch_B begin
ch_E end
ch_I internal
ch_S singleton
d_B begin
d_E end
d_I internal
d_S singleton
ddh_B begin
ddh_E end
ddh_I internal
ddh_S singleton
ddx_B begin
ddx_E end
ddx_I internal
ddx_S singleton
dh_B begin
dh_E end
dh_I internal
dh_S singleton
dx_B begin
dx_E end
dx_I internal
dx_S singleton
dxh_B begin
dxh_E end
dxh_I internal
dxh_S singleton
dxhq_B begin
dxhq_E end
dxhq_I internal
dxhq_S singleton
dxq_B begin
dxq_E end
dxq_I internal
dxq_S singleton
e_B begin
e_E end
e_I internal
e_S singleton
ee_B begin
ee_E end
ee_I internal
ee_S singleton
ei_B begin
ei_E end
ei_I internal
ei_S singleton
ein_B begin
ein_E end
ein_I internal
ein_S singleton
en_B begin
en_E end
en_I internal
en_S singleton
g_B begin
g_E end
g_I internal
g_S singleton
gh_B begin
gh_E end
gh_I internal
gh_S singleton
h_B begin
h_E end
h_I internal
h_S singleton
i_B begin
i_E end
i_I internal
i_S singleton
ii_B begin
ii_E end
ii_I internal
ii_S singleton
iin_B begin
iin_E end
iin_I internal
iin_S singleton
j_B begin
j_E end
j_I internal
j_S singleton
jh_B begin
jh_E end
jh_I internal
jh_S singleton
jhq_B begin
jhq_E end
jhq_I internal
jhq_S singleton
jj_B begin
jj_E end
jj_I internal
jj_S singleton
k_B begin
k_E end
k_I internal
k_S singleton
kh_B begin
kh_E end
kh_I internal
kh_S singleton
kk_B begin
kk_E end
kk_I internal
kk_S singleton
l_B begin
l_E end
l_I internal
l_S singleton
la_B begin
la_E end
la_I internal
la_S singleton
ll_B begin
ll_E end
ll_I internal
ll_S singleton
m_B begin
m_E end
m_I internal
m_S singleton
mm_B begin
mm_E end
mm_I internal
mm_S singleton
mq_B begin
mq_E end
mq_I internal
mq_S singleton
n_B begin
n_E end
n_I internal
n_S singleton
ng_B begin
ng_E end
ng_I internal
ng_S singleton
nj_B begin
nj_E end
nj_I internal
nj_S singleton
nx_B begin
nx_E end
nx_I internal
nx_S singleton
o_B begin
o_E end
o_I internal
o_S singleton
on_B begin
on_E end
on_I internal
on_S singleton
oo_B begin
oo_E end
oo_I internal
oo_S singleton
ou_B begin
ou_E end
ou_I internal
ou_S singleton
p_B begin
p_E end
p_I internal
p_S singleton
ph_B begin
ph_E end
ph_I internal
ph_S singleton
r_B begin
r_E end
r_I internal
r_S singleton
rr_B begin
rr_E end
rr_I internal
rr_S singleton
s_B begin
s_E end
s_I internal
s_S singleton
sh_B begin
sh_E end
sh_I internal
sh_S singleton
ss_B begin
ss_E end
ss_I internal
ss_S singleton
sx_B begin
sx_E end
sx_I internal
sx_S singleton
t_B begin
t_E end
t_I internal
t_S singleton
th_B begin
th_E end
th_I internal
th_S singleton
tt_B begin
tt_E end
tt_I internal
tt_S singleton
ttx_B begin
ttx_E end
ttx_I internal
ttx_S singleton
ttxh_B begin
ttxh_E end
ttxh_I internal
ttxh_S singleton
tw_B begin
tw_E end
tw_I internal
tw_S singleton
tx_B begin
tx_E end
tx_I internal
tx_S singleton
txh_B begin
txh_E end
txh_I internal
txh_S singleton
u_B begin
u_E end
u_I internal
u_S singleton
uu_B begin
uu_E end
uu_I internal
uu_S singleton
uun_B begin
uun_E end
uun_I internal
uun_S singleton
v_B begin
v_E end
v_I internal
v_S singleton
w_B begin
w_E end
w_I internal
w_S singleton
y_B begin
y_E end
y_I internal
y_S singleton
z_B begin
z_E end
z_I internal
z_S singleton
